央视（线路1）,#genre#
CCTV1,http://api.52tb.xyz/info?id=2&token=20230129ygoden
CCTV2,http://api.52tb.xyz/info?id=3&token=20230129ygoden
CCTV3,http://api.52tb.xyz/info?id=4&token=20230129ygoden
CCTV4,http://api.52tb.xyz/info?id=5&token=20230129ygoden
CCTV5,http://api.52tb.xyz/info?id=6&token=20230129ygoden
CCTV5+,http://api.52tb.xyz/info?id=7&token=20230129ygoden
CCTV6,http://api.52tb.xyz/info?id=8&token=20230129ygoden
CCTV7,http://api.52tb.xyz/info?id=9&token=20230129ygoden
CCTV8,http://api.52tb.xyz/info?id=10&token=20230129ygoden
CCTV9,http://api.52tb.xyz/info?id=11&token=20230129ygoden
CCTV10,http://api.52tb.xyz/info?id=12&token=20230129ygoden
CCTV11,http://api.52tb.xyz/info?id=13&token=20230129ygoden
CCTV12,http://api.52tb.xyz/info?id=14&token=20230129ygoden
CCTV13,http://api.52tb.xyz/info?id=15&token=20230129ygoden
CCTV14,http://api.52tb.xyz/info?id=16&token=20230129ygoden
CCTV15,http://api.52tb.xyz/info?id=17&token=20230129ygoden
CCTV16,http://api.52tb.xyz/info?id=18&token=20230129ygoden
CCTV17,http://api.52tb.xyz/info?id=19&token=20230129ygoden
卫视（线路1）,#genre#
湖南卫视,http://api.52tb.xyz/info?id=21&token=20230129ygoden
浙江卫视,http://api.52tb.xyz/info?id=22&token=20230129ygoden
江苏卫视,http://api.52tb.xyz/info?id=23&token=20230129ygoden
东方卫视,http://api.52tb.xyz/info?id=24&token=20230129ygoden
北京卫视,http://api.52tb.xyz/info?id=25&token=20230129ygoden
天津卫视,http://api.52tb.xyz/info?id=26&token=20230129ygoden
广东卫视,http://api.52tb.xyz/info?id=27&token=20230129ygoden
深圳卫视,http://api.52tb.xyz/info?id=28&token=20230129ygoden
东南卫视,http://api.52tb.xyz/info?id=29&token=20230129ygoden
山东卫视,http://api.52tb.xyz/info?id=30&token=20230129ygoden
河南卫视,http://api.52tb.xyz/info?id=31&token=20230129ygoden
河北卫视,http://api.52tb.xyz/info?id=32&token=20230129ygoden
安徽卫视,http://api.52tb.xyz/info?id=33&token=20230129ygoden
湖北卫视,http://api.52tb.xyz/info?id=34&token=20230129ygoden
江西卫视,http://api.52tb.xyz/info?id=35&token=20230129ygoden
贵州卫视,http://api.52tb.xyz/info?id=36&token=20230129ygoden
重庆卫视,http://api.52tb.xyz/info?id=37&token=20230129ygoden
海南卫视,http://api.52tb.xyz/info?id=38&token=20230129ygoden
四川卫视,http://api.52tb.xyz/info?id=39&token=20230129ygoden
吉林卫视,http://api.52tb.xyz/info?id=40&token=20230129ygoden
黑龙江卫视,http://api.52tb.xyz/info?id=41&token=20230129ygoden
云南卫视,http://api.52tb.xyz/info?id=42&token=20230129ygoden
辽宁卫视,http://api.52tb.xyz/info?id=43&token=20230129ygoden
内蒙古卫视,http://api.52tb.xyz/info?id=44&token=20230129ygoden
广西卫视,http://api.52tb.xyz/info?id=45&token=20230129ygoden
甘肃卫视,http://api.52tb.xyz/info?id=46&token=20230129ygoden
陕西卫视,http://api.52tb.xyz/info?id=47&token=20230129ygoden
山西卫视,http://api.52tb.xyz/info?id=48&token=20230129ygoden
宁夏卫视,http://api.52tb.xyz/info?id=49&token=20230129ygoden
青海卫视,http://api.52tb.xyz/info?id=50&token=20230129ygoden
新疆卫视,http://api.52tb.xyz/info?id=51&token=20230129ygoden
西藏卫视,http://api.52tb.xyz/info?id=52&token=20230129ygoden
央视（线路2）,#genre#
CCTV1,http://api.52tb.xyz/info?id=53&token=20230129ygoden
CCTV2,http://api.52tb.xyz/info?id=54&token=20230129ygoden
CCTV3,http://api.52tb.xyz/info?id=55&token=20230129ygoden
CCTV4,http://api.52tb.xyz/info?id=56&token=20230129ygoden
